tenure,signup_date,last_active_days,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,avg_monthly_usage,number_of_logins,complaints_count,customer_support_calls,late_payments,charges_per_month,tenure_group,engagement_score,Churn,cluster,customer_segment,churn_prob,expected_remaining,CLV
3,2023-09-24,5,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,90.2,272.99,56.8,14,4,4,2,91.0,New,29.7,Yes,3,Loyal Mid-tier,0.9301501,69,434.731859600544
42,2020-06-15,96,Female,0,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),54.66,2292.23,79.1,18,2,3,1,54.58,Loyal,61.9,No,2,Veteran Champion,0.009872362,30,1623.6112763285637
4,2023-08-29,10,Female,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,120.0,471.93,76.4,23,4,5,1,117.98,New,46.3,Yes,3,Loyal Mid-tier,0.846833,68,1249.8427963256836
1,2023-11-11,0,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),34.34,33.69,10.4,25,3,4,0,33.69,New,30.2,Yes,3,Loyal Mid-tier,0.8050849,71,475.2303405177594
4,2023-08-25,24,Male,0,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,91.66,366.9,54.1,9,3,3,1,91.72,New,43.5,Yes,3,Loyal Mid-tier,0.73837984,68,1630.6470872783661
31,2021-05-28,138,Female,1,Yes,Yes,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,77.98,2415.61,90.1,22,2,5,0,77.92,Loyal,57.5,No,1,Veteran Champion,0.32096562,41,2170.995050494671
38,2020-10-03,290,Male,0,No,No,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.82,2542.27,56.6,17,3,5,1,66.9,Loyal,55.3,Yes,1,Veteran Champion,0.16931628,34,1887.2137029647824
9,2023-03-17,37,Female,0,No,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),54.16,489.52,34.8,10,1,3,0,54.39,New,42.5,No,0,Loyal Mid-tier,0.2992257,63,2391.0980145549775
4,2023-08-14,10,Male,0,Yes,Yes,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,51.75,210.11,52.1,9,2,5,0,52.53,New,43.5,No,0,Loyal Mid-tier,0.23411658,68,2695.1438455581665
5,2023-07-09,21,Male,0,No,No,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,59.85,300.75,28.1,13,2,1,0,60.15,New,39.7,No,0,Loyal Mid-tier,0.4664842,67,2139.3717261850834
5,2023-07-24,25,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.1,141.52,74.2,19,3,3,1,28.3,New,47.8,No,0,Loyal Mid-tier,0.2978148,67,1322.0041015803815
1,2023-11-04,15,Male,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,91.16,91.23,57.7,19,4,5,2,91.23,New,31.7,Yes,3,Loyal Mid-tier,0.94351435,71,365.59548055648804
32,2021-04-08,69,Male,1,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,88.91,2842.89,69.2,15,2,3,0,88.84,Loyal,56.2,No,1,Veteran Champion,0.43280694,40,2017.1652965545652
69,2018-03-08,136,Male,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.0,1380.01,74.2,19,1,3,1,20.0,Veteran,71.1,No,2,Veteran Champion,0.0074519557,3,59.55288290977478
34,2021-02-23,141,Male,0,Yes,Yes,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,79.58,2701.66,92.5,23,2,2,3,79.46,Loyal,59.9,No,2,Veteran Champion,0.040648025,38,2901.118691575527
1,2023-11-09,10,Male,0,No,No,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,83.14,85.65,48.1,16,5,4,1,85.65,New,38.5,Yes,3,Loyal Mid-tier,0.8388106,71,951.491222885847
38,2020-10-12,0,Male,0,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),85.57,3248.92,104.1,15,2,4,1,85.5,Loyal,66.2,No,1,Veteran Champion,0.012393341,34,2873.3230197548864
6,2023-06-16,155,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.88,138.07,66.8,16,1,0,0,23.01,New,62.3,No,0,Loyal Mid-tier,0.060504667,66,1418.7131005096435
