tenure,signup_date,last_active_days,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,avg_monthly_usage,number_of_logins,complaints_count,customer_support_calls,late_payments,charges_per_month,tenure_group,engagement_score,Churn
53,2019-07-05,131,Female,0,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,93.7,4957.77,77.7,16,5,5,1,93.54,Veteran,56.1,No
23,2022-01-08,106,Male,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.32,673.41,32.7,15,1,0,0,29.28,Regular,52.1,No
60,2018-12-25,3,Female,0,No,No,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,63.97,3834.64,61.8,11,2,4,0,63.91,Veteran,67.0,No
46,2020-02-01,44,Male,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),70.13,3227.74,93.9,19,2,3,0,70.17,Loyal,67.0,No
3,2023-09-02,5,Female,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),75.37,225.01,74.6,29,2,1,0,75.0,New,56.2,No
70,2018-03-01,39,Male,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,72.12,5040.6,60.3,20,2,3,0,72.01,Veteran,65.6,No
51,2019-10-01,346,Male,0,No,No,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,56.26,2868.37,42.2,14,0,4,0,56.24,Veteran,62.8,No
54,2019-06-25,3,Male,0,No,No,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,89.04,4802.71,89.6,22,4,5,0,88.94,Veteran,55.6,No
5,2023-07-09,11,Female,0,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.35,471.1,59.2,14,3,3,0,94.22,New,48.8,Yes
24,2021-12-14,357,Male,0,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,96.94,2325.81,85.3,21,5,5,0,96.91,Regular,50.1,No
17,2022-07-17,42,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.61,417.18,82.0,22,5,6,0,24.54,Regular,45.0,Yes
66,2018-06-19,239,Female,1,Yes,No,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),56.59,3734.35,91.7,17,1,3,0,56.58,Veteran,79.5,No
41,2020-07-17,91,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.74,1179.26,61.7,19,2,4,1,28.76,Loyal,61.0,No
57,2019-03-13,117,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.15,1262.51,77.3,20,4,8,0,22.15,Veteran,57.5,No
24,2021-12-30,162,Female,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,102.11,2454.99,97.2,27,3,6,2,102.29,Regular,54.6,Yes
9,2023-03-16,211,Female,0,No,No,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),73.98,666.36,80.3,18,3,5,2,74.04,New,48.3,Yes
33,2021-03-26,277,Female,0,No,Yes,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),76.58,2521.12,41.5,22,2,2,0,76.4,Loyal,51.6,Yes
2,2023-10-09,10,Male,0,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,97.8,196.77,48.7,18,5,5,1,98.38,New,29.2,Yes
57,2019-03-27,7,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.2,5647.96,108.9,24,4,4,2,99.09,Veteran,69.7,No
40,2020-08-29,66,Male,0,Yes,No,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),56.87,2275.06,49.3,22,2,1,0,56.88,Loyal,57.9,No
51,2019-09-18,229,Male,0,Yes,Yes,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,80.28,4093.6,103.0,16,6,5,1,80.27,Veteran,55.7,No
